Text,clean_text,topic_label,topic
i need a loan to pay for an international vacation with my family,pay international vacation family,Essential & Personal Expenses,1
i need a loan to start a small business,start small business,Business & Income-Generating,0
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i want to make home improvements like installing solar panels,want make home improvement like installing solar panel,Household & Family Needs,2
i need a loan for home renovation including a kitchen remodel,home renovation including kitchen remodel,Household & Family Needs,2
i need a loan to start a small business,start small business,Business & Income-Generating,0
i need funds to buy new furniture and appliances for my house,buy new furniture appliance house,Business & Income-Generating,0
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i need financial help to cover maternity and delivery expenses,help cover maternity delivery expense,Essential & Personal Expenses,1
i need a loan to start a small business,start small business,Business & Income-Generating,0
i need a loan to repair my car after an accident,repair car accident,Business & Income-Generating,0
i need money to open a small bookstore and caf,open small bookstore caf,Business & Income-Generating,0
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i need a loan to install a security system at home,install security system home,Household & Family Needs,2
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i need a loan to cover emergency expenses after a natural disaster,cover emergency expense natural disaster,Essential & Personal Expenses,1
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i need a loan to pay for a muchneeded vacation after years of saving,pay muchneeded vacation year saving,Essential & Personal Expenses,1
i need a loan to start a small business,start small business,Business & Income-Generating,0
i need money to purchase updated equipment for my photography business,purchase updated equipment photography business,Business & Income-Generating,0
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i want to start a small roadside food stall and need funds for equipment,want start small roadside food stall equipment,Business & Income-Generating,0
i need a loan to start a small business,start small business,Business & Income-Generating,0
i want to pay off my payday loans and switch to a lowerinterest option,want pay payday switch lowerinterest option,Essential & Personal Expenses,1
i need a loan to pay for legal fees related to my business license,pay legal fee related business license,Essential & Personal Expenses,1
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i need financial support to pay for my sons football training program,support pay son football training program,Essential & Personal Expenses,1
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i need money to pay for a vocational training course in plumbing,pay vocational training course plumbing,Essential & Personal Expenses,1
i need a loan to start a small business,start small business,Business & Income-Generating,0
i need a loan to repair my car after an accident,repair car accident,Essential & Personal Expenses,1
i need a loan to pay for a muchneeded vacation after years of saving,pay muchneeded vacation year saving,Essential & Personal Expenses,1
i need financial help to cover wedding expenses including the venue and catering,help cover wedding expense including venue catering,Essential & Personal Expenses,1
i need a loan to start a small business,start small business,Business & Income-Generating,0
i want to expand my small online clothing store,want expand small online clothing store,Business & Income-Generating,0
i need a loan to start a small business,start small business,Business & Income-Generating,0
i want to consolidate my credit card debts into one manageable payment,want consolidate credit card debt one manageable payment,Household & Family Needs,2
i need a loan to repair my car after an accident,repair car accident,Business & Income-Generating,0
i need a loan to support my side business selling handmade candles,support side business selling handmade candle,Business & Income-Generating,0
